barcode,manifest_sno
ET-AM-BD-BD-AAH-03,1
ET-AM-BD-BD-AAH-19,7
ET-AM-BD-BD-AAH-16,17
ET-AM-BD-BD-AAH-17,18
ET-AM-BD-BD-AAH-18,19
ET-AM-BD-BD-AAH-3,20
ET-AM-BD-BD-AAH-12,21
ET-AM-BD-BD-AAH-14,22
ET-AM-BD-BD-AAH-1,23
ET-AM-BD-BD-AAH-5,24
ET-AM-BD-BD-AAH-13,29
ET-AM-BD-BD-AAH-2,30
ET-BG-AS-AS-AH-7,32
ET-BG-AS-AS-AH-10,35
ET-BG-AS-AS-AH-13,36
ET-BG-AS-AS-AH-16,37
ET-BG-AS-AS-AH-9,38
ET-BG-AS-AS-AH-4,42
ET-BG-AS-AS-AH-2,43
ET-BG-AS-AS-AH-3,47
ET-BG-AS-AS-AH-18,48
ET-BG-AS-AS-AH-14,49
ET-BG-AS-AS-AH-8,53
ET-BG-AS-AS-AH-12,54
ET-BG-AS-AS-AH-15,55
ET-BG-AS-AS-AH-20,57
ET-BG-AS-AS-AH-5,58
ET-BG-AS-AS-AH-19,60
ET-BG-AS-AS-AH-6,61
ET-BG-AS-AS-AH-1,62
ET-BG-AS-AS-AH-11,63
ET-BG-AS-AS-AH-17,64
ET-AA-YE-Y12-51,65
ET-AA-KK-W1O-HC-12,66
ET-AA-YE-Y12-36,68
ET-AA-KK-W1O-HC-5,73
ET-AA-KK-W10-HC-12,74
ET-AA-YE-Y12H-51,76
ET-AA-KK-W10-HC-13,82
ET-AA-LI-W7-THHC-3,83
ET-AA-YE-Y12H-34,88
ET-AA-YE-Y12H-38,89
ET-AA-YE-Y12H-47,93
ET-AA-YE-Y12H-23,94
ET-AA-YE-Y12H-50,100
ET-AA-YE-Y12H-18,101
ET-AA-YE-Y12H-26,102
ET-AA-YE-Y12H-27,103
ET-AA-LI-W7-THHC-4,105
ET-AA-YE-Y12H-46,107
ET-AA-YE-Y12H-48,108
ET-AA-YE-Y12H-35,109
ET-AA-YE-Y12H-29,110
ET-AA-YE-Y12H-22,112
ET-AA-YE-Y12H-36,113
ET-AA-LI-THHC-8,114
ET-AA-LI-THHC-7,115
ET-AA-YE-Y12H-49,117
ET-AA-YE-Y12H-32,118
ET-AA-YE-Y12H-24,119
ET-AA-YE-Y12H-45,123
ET-AA-YE-Y12H-44,124
ET-AA-YE-Y12H-37,125
ET-AA-KK-W10-KHC-6,126
ET-AA-YE-Y12H-30,127
ET-AA-YE-Y12H-25,128
ET-SN-HA-HA-HH-008,129
ET-SN-HA-HA-HH-019,134
ET-SN-HA-HA-HH-012,136
ET-AA-YE-Y12H-28,137
