barcode,manifest_sno,freezer_no,normalized_barcode
ET-AM-BD-BD-AAH-03,1,,et-am-bd-bd-aah-03
ET-AM-BD-BD-AAH-12,2.0,,et-am-bd-bd-aah-12
ET-AM-BD-BD-AAH-13,3.0,,et-am-bd-bd-aah-13
ET-AM-BD-BD-AAH-18,4.0,,et-am-bd-bd-aah-18
ET-AM-BD-BD-AAH-19,5.0,,et-am-bd-bd-aah-19
ET-BG-AS-AS-AH-8,6.0,,et-bg-as-as-ah-8
ET-AM-BD-BD-AAH-19,7.0,,et-am-bd-bd-aah-19
ET-BG-AS-AS-AH-16,8.0,,et-bg-as-as-ah-16
ET-AM-BD-BD-AAH-15,9.0,,et-am-bd-bd-aah-15
ET-AM-BD-BD-AAH-16,10.0,,et-am-bd-bd-aah-16
ET-AM-BD-BD-AAH-1,11.0,,et-am-bd-bd-aah-1
ET-AM-BD-BD-AAH-14,12.0,,et-am-bd-bd-aah-14
ET-AM-BD-BD-AAH-15,13.0,,et-am-bd-bd-aah-15
ET-AM-BD-BD-AAH-4,14.0,,et-am-bd-bd-aah-4
ET-AM-BD-BD-AAH-5,15.0,,et-am-bd-bd-aah-5
ET-AM-BD-BD-AAH-2,16.0,,et-am-bd-bd-aah-2
ET-AM-BD-BD-AAH-16,17.0,,et-am-bd-bd-aah-16
ET-AM-BD-BD-AAH-17,18.0,,et-am-bd-bd-aah-17
ET-AM-BD-BD-AAH-18,19.0,,et-am-bd-bd-aah-18
ET-AM-BD-BD-AAH-3,20.0,,et-am-bd-bd-aah-3
ET-AM-BD-BD-AAH-12,21.0,,et-am-bd-bd-aah-12
ET-AM-BD-BD-AAH-14,22.0,,et-am-bd-bd-aah-14
ET-AM-BD-BD-AAH-1,23.0,,et-am-bd-bd-aah-1
ET-AM-BD-BD-AAH-5,24.0,,et-am-bd-bd-aah-5
ET-BG-AS-AS-AH-10,25.0,,et-bg-as-as-ah-10
ET-BG-AS-AS-AH-15,26.0,,et-bg-as-as-ah-15
ET-AM-BD-BD-AAH-4,27.0,,et-am-bd-bd-aah-4
ET-BG-AS-AS-AH-7,28.0,,et-bg-as-as-ah-7
ET-AM-BD-BD-AAH-13,29.0,,et-am-bd-bd-aah-13
ET-AM-BD-BD-AAH-2,30.0,,et-am-bd-bd-aah-2
ET-BG-AS-AS-AH-13,31.0,,et-bg-as-as-ah-13
ET-BG-AS-AS-AH-7,32.0,,et-bg-as-as-ah-7
ET-BG-AS-AS-AH-18,33.0,,et-bg-as-as-ah-18
ET-BG-AS-AS-AH-9,34.0,,et-bg-as-as-ah-9
ET-BG-AS-AS-AH-10,35.0,,et-bg-as-as-ah-10
ET-BG-AS-AS-AH-13,36.0,,et-bg-as-as-ah-13
ET-BG-AS-AS-AH-16,37.0,,et-bg-as-as-ah-16
ET-BG-AS-AS-AH-9,38.0,,et-bg-as-as-ah-9
ET-BG-AS-AS-AH-3,39.0,,et-bg-as-as-ah-3
ET-BG-AS-AS-AH-4,40.0,,et-bg-as-as-ah-4
ET-BG-AS-AS-AH-6,41.0,,et-bg-as-as-ah-6
ET-BG-AS-AS-AH-4,42.0,,et-bg-as-as-ah-4
ET-BG-AS-AS-AH-2,43.0,,et-bg-as-as-ah-2
ET-BG-AS-AS-AH-17,44.0,,et-bg-as-as-ah-17
ET-BG-AS-AS-AH-12,45.0,,et-bg-as-as-ah-12
ET-BG-AS-AS-AH-14,46.0,,et-bg-as-as-ah-14
ET-BG-AS-AS-AH-3,47.0,,et-bg-as-as-ah-3
ET-BG-AS-AS-AH-18,48.0,,et-bg-as-as-ah-18
ET-BG-AS-AS-AH-14,49.0,,et-bg-as-as-ah-14
ET-BG-AS-AS-AH-1,50.0,,et-bg-as-as-ah-1
ET-BG-AS-AS-AH-5,51.0,,et-bg-as-as-ah-5
ET-BG-AS-AS-AH-19,52.0,,et-bg-as-as-ah-19
ET-BG-AS-AS-AH-8,53.0,,et-bg-as-as-ah-8
ET-BG-AS-AS-AH-12,54.0,,et-bg-as-as-ah-12
ET-BG-AS-AS-AH-15,55.0,,et-bg-as-as-ah-15
ET-BG-AS-AS-AH-20,56.0,,et-bg-as-as-ah-20
ET-BG-AS-AS-AH-20,57.0,,et-bg-as-as-ah-20
ET-BG-AS-AS-AH-5,58.0,,et-bg-as-as-ah-5
ET-BG-AS-AS-AH-11,59.0,,et-bg-as-as-ah-11
ET-BG-AS-AS-AH-19,60.0,,et-bg-as-as-ah-19
ET-BG-AS-AS-AH-6,61.0,,et-bg-as-as-ah-6
ET-BG-AS-AS-AH-1,62.0,,et-bg-as-as-ah-1
ET-BG-AS-AS-AH-11,63.0,,et-bg-as-as-ah-11
ET-BG-AS-AS-AH-17,64.0,,et-bg-as-as-ah-17
ET-AA-YE-Y12-51,65.0,,et-aa-ye-y12-51
ET-AA-KK-W1O-HC-12,66.0,,et-aa-kk-w1o-hc-12
ET-AA-LI-W7-THHC-3,67.0,,et-aa-li-w7-thhc-3
ET-AA-YE-Y12-36,68.0,,et-aa-ye-y12-36
ET-AA-YE-Y12H-18,69.0,,et-aa-ye-y12h-18
ET-AA-YE-Y12H-22,70.0,,et-aa-ye-y12h-22
ET-AA-YE-Y12H-32,71.0,,et-aa-ye-y12h-32
ET-AA-YE-Y12H-23,72.0,,et-aa-ye-y12h-23
ET-AA-KK-W1O-HC-5,73.0,,et-aa-kk-w1o-hc-5
ET-AA-KK-W10-HC-12,74.0,,et-aa-kk-w10-hc-12
ET-AA-YE-Y12H-48,75.0,,et-aa-ye-y12h-48
ET-AA-YE-Y12H-51,76.0,,et-aa-ye-y12h-51
ET-AA-YE-Y12H-35,77.0,,et-aa-ye-y12h-35
